name|bio|faculty_of
CHAD BROUGHTON|CHAD BROUGHTON IS AN INSTRUCTIONAL PROFESSOR IN THE SOCIAL SCIENCES COLLEGIATE DIVISION. BROUGHTON, A SOCIOLOGIST, IS INTERESTED IN QUALITATIVE APPROACHES TO THE STUDY OF POLICY AND SOCIETY. HIS SUBSTANTIVE INTERESTS FALL INTO TWO GENERAL DOMAINS: AT THE INTERSECTION OF LABOR STUDIES AND TRADE AND IMMIGRATION POLICY, AND, SECOND, THE STUDY OF CRIME, JUSTICE AND POLICING, AND DESISTANCE FROM CRIME, WITH A PARTICULAR INTEREST IN CHICAGO. BROUGHTON IS THE AUTHOR OF THE 2015 BOOK, BOOM, BUST, EXODUS: THE RUST BELT, THE MAQUILAS, AND A TALE OF TWO CITIES, A 12-YEAR ETHNOGRAPHIC STUDY THAT TRACES THE RIPPLE EFFECTS OF A SINGLE FACTORY CLOSING IN GALESBURG, ILLINOIS, AND ITS REOPENING IN REYNOSA, TAMAULIPAS, AT THE U.S.-MEXICO BORDER. BOOM, BUST, EXODUS HAS RECEIVED SEVERAL RECOGNITIONS, INCLUDING THE 2016 WOLA-DUKE HUMAN RIGHTS BOOK AWARD AND THE 2016 LABOR AND LABOR MOVEMENTS SECTION BOOK AWARD OF THE AMERICAN SOCIOLOGICAL ASSOCIATION.|HARRIS SCHOOL OF PUBLIC POLICY
CHASSE REHWINKEL|CHASSE REHWINKEL WAS APPOINTED CHICAGO CITY COMPTROLLER BY MAYOR BRANDON JOHNSON ON JULY 1, 2023. PREVIOUS TO HIS APPOINTMENT, MR. REHWINKEL SERVED AS THE ILLINOIS DIRECTOR OF BANKING FOR FOUR YEARS—APPOINTED BY GOVERNOR JB PRITZKER IN JUNE 2019. AS DIRECTOR OF BANKING, MR. REHWINKEL FOCUSED ON MAJOR REFORMS TO IMPROVE EQUITY IN BANKING AND CONSUMER PROTECTION. IN 2020, MR. REHWINKEL ISSUED WIDE RANGING GUIDANCE AND POLICY RELIEF TO HELP VULNERABLE ILLINOISANS DURING THE COVID-19 GLOBAL PANDEMIC, INCLUDING A FORMING A MULTISTATE AGREEMENT WITH STUDENT LOAN SERVICERS TO PROVIDE FINANCIAL RELIEF OPTIONS ON PRIVATE STUDENT LOANS AND A PARTNERSHIP WITH SEVEN LARGE RETAIL BANKS TO PROVIDE FREE CHECK CASHING SERVICES ON STIMULUS CHECK FOR UNBANKED ILLINOISANS. IN 2021, THE MR. REHWINKEL WORKED HARD TO PASS THE ILLINOIS COMMUNITY REINVESTMENT ACT (CRA), A STATE-LEVEL EXAMINATION PROGRAM THAT INCENTIVIZES BANK, CREDIT UNION AND NON-BANK MORTGAGE LENDERS TO INVEST IN VULNERABLE ILLINOIS COMMUNITIES AND POPULATION. THE PASSAGE OF THE ILLINOIS CRA MADE ILLINOIS THE FIRST MIDWESTERN STATE TO PASS A STATE CRA PROGRAM AND JUST THE SECOND STATE IN THE COUNTRY TO INCLUDE CREDIT UNIONS AND NON-BANK MORTGAGE LENDERS, AS WELL AS BANKS, IN THE PROGRAM'S SCOPE. ALSO DURING HIS TENURE, MR. REHWINKEL SIGNED THE FIRST DE NOVO BANK CHARTER IN ILLINOIS IN OVER A DECADE-WHICH CHARTERED FIRST WOMEN'S BANK, A UNIQUE WOMEN OWNED AND OPERATED BANK FOCUSED ON GENDER EQUITY.  PRIOR TO HIS ROLE AS ILLINOIS DIRECTOR OF BANKING, MR. REHWINKEL SERVED IN BOTH ILLINOIS STATE FISCAL OFFICE—FIRST AS THE DIRECTOR OF POLICY FOR THE ILLINOIS STATE TREASURER AND THEN AS THE CHIEF ECONOMIST AND DIRECTOR OF THE BOND DIVISION FOR THE ILLINOIS OFFICE OF COMPTROLLER. MR. REHWINKEL RECEIVED HIS MASTER IN PUBLIC POLICY WITH A FOCUS IN MUNICIPAL FINANCE FROM THE UNIVERSITY OF CHICAGO'S HARRIS SCHOOL OF PUBLIC POLICY AND HIS BACHELOR'S DEGREE FROM GETTYSBURG COLLEGE. MR. REHWINKEL SERVES AS A BOARD MEMBER OF THE MUNICIPAL EMPLOYEES’ ANNUITY & BENEFIT FUND OF CHICAGO, THE LABORERS’ & RETIREMENT BOARD EMPLOYEES’ ANNUITY & BENEFIT FUND, THE CHICAGO FIREMEN’S ANNUITY & BENEFIT FUND, AND THE ILLINOIS BANK ON COMMISSION ADVISORY BOARD.|HARRIS SCHOOL OF PUBLIC POLICY
CHENHAO TAN|I AM AN ASSISTANT PROFESSOR AT THE DEPARTMENT OF COMPUTER SCIENCE AT THE UNIVERSITY OF CHICAGO. I AM ALSO AFFILIATED WITH THE HARRIS SCHOOL OF PUBLIC POLICY. I DIRECT THE CHICAGO HUMAN+AI LAB.  MY MAIN RESEARCH INTERESTS INCLUDE LANGUAGE AND SOCIAL DYNAMICS. HUMAN-CENTERED MACHINE LEARNING, HOW WE CAN USE MACHINE LEARNING TO EMPOWER HUMANS AND AUGMENT HUMAN INTELLIGENCE SUCH AS ENHANCING CREATIVITY AND AVOIDING BEHAVIORAL BIASES, E.G., HUMAN PREDICTIONS ALONG A SPECTRUM BETWEEN FULL HUMAN AGENCY AND FULL AUTOMATION, HUMAN PREFERENCES OF TASK DELEGATION TO AI, AND CREATIVE WRITING WITH A MACHINE IN THE LOOP, AND THE META QUESTION OF WHAT TASKS HUMANS WOULD LIKE TO DELEGATE TO AI SYSTEMS, AND TO WHAT EXTEND. MULTI-COMMUNITY ENGAGEMENT, HOW A PERSON INTERACTS WITH MULTIPLE COMMUNITIES AND HOW COMMUNITIES RELATE TO EACH OTHER, E.G., USERS' LIFE TRAJECTORIES, COMMUNITY GENEALOGY, AND MIGRANT INTEGRATION IN URBANIZATION. I AM ALSO BROADLY INTERESTED IN NATURAL LANGUAGE PROCESSING, COMPUTATIONAL SOCIAL SCIENCE, AND ARTIFICIAL INTELLIGENCE. HERE IS MY CV.|HARRIS SCHOOL OF PUBLIC POLICY
CHRIS CLAPP|I AM AN ASSISTANT INSTRUCTIONAL PROFESSOR AT THE HARRIS SCHOOL OF PUBLIC POLICY.  MY RESEARCH INTERESTS ARE IN APPLIED MICROECONOMICS, PRIMARILY THE FIELDS OF PUBLIC, URBAN, ENVIRONMENTAL, AND LABOR ECONOMICS.  I ALSO HAVE WORK RELATED TO HEALTH AND SPORTS ECONOMICS TOPICS. PRIOR TO WORKING AT UCHICAGO, I MAJORED IN ECONOMICS AND ENGLISH AT CLEMSON UNIVERSITY AND WORKED AS A RESEARCH ASSOCIATE FOR COMPASS LEXECON IN WASHINGTON, DC.  I EARNED MY PH.D. IN ECONOMICS FROM THE UNIVERSITY OF VIRGINIA, AND I WAS PREVIOUSLY EMPLOYED AS AN ASSISTANT PROFESSOR AT FLORIDA STATE UNIVERSITY.  I LIVE IN HYDE PARK WITH MY WIFE, SUSAN; OUR SON; AND OUR DOG, BOOMER.|HARRIS SCHOOL OF PUBLIC POLICY
CHRISTINA XU|CHRISTINA XU WORKS AS THE ASSOCIATE DIRECTOR OF EMPLOYER PARTNERSHIPS. SHE MANAGES ALL FACETS OF THE RELATIONSHIP DEVELOPMENT WITH CHINESE EMPLOYERS, SECURING INTERNSHIP AND FULLTIME OPPORTUNITIES FOR HARRIS STUDENTS, WHILE GROWING AND MAINTAINING THE CHINESE EMPLOYER PORTFOLIO. SHE ALSO ADVISES STUDENTS ON APPROPRIATE CAREER MANAGEMENT AND JOB SEARCH SKILLS, AND PROVIDES OPPORTUNITIES FOR ENGAGEMENT BETWEEN EMPLOYERS AND STUDENTS. PRIOR TO JOINING THE EMPLOYER PARTNERSHIPS TEAM, CHRISTINA SERVED AS FINANCE MANAGER FOR HARRIS GRANT PORTFOLIO AFTER TRANSFERRING FROM THE CHEMISTRY DEPARTMENT AT THE UNIVERSITY OF CHICAGO. SHE WORKED WITH FACULTY AND STUDENTS ON GRANTS & CONTRACTS PREPARATION, AND SUBMISSION; ADVISED AND ASSISTED IN BUDGET DEVELOPMENT, FINANCIAL REPORTING, AND OTHER RELATIONS AND COMMUNICATIONS WITH FUNDING AGENCIES AND SUBAWARDEES. SHE WAS RESPONSIBLE FOR ALL POST-AWARD ACTIVITIES, INCLUDING FORECASTING, RECONCILIATION AND MONITORING ALL EXPENDITURES. CHRISTINA ALSO GUIDED FACULTY, STAFF AND PROCUREMENT SPECIALISTS ON POLICIES AND PROCEDURES FOR FULFILLING ALL ASPECTS OF THE PROCUREMENT PROCESS. AFTER GRADUATING FROM BUSINESS SCHOOL, CHRISTINA WAS AN INTERNATIONAL PRODUCT DEVELOPMENT MANAGER. SHE DEVELOPED A GLOBAL SOURCING STRATEGY, LED THE NEW PRODUCT DEVELOPMENT TEAM ON SEARCHING FOR NEW SOURCES, RECOMMENDED NEW PRODUCT CATEGORIES & PRICING THROUGH EXTENSIVE MARKET ANALYSIS, AND LAUNCHED MARKETING CAMPAIGNS THROUGH MULTIPLE CHANNELS. SHE MANAGED THE ENTIRE PRODUCT DEVELOPMENT CYCLE AND PROCUREMENT PROCESS, AND HAD EXTENSIVE EXPERIENCE WORKING WITH INTERNATIONAL PARTNERS. CHRISTINA HOLDS A BACHELOR OF SCIENCE IN MANAGEMENT INFORMATION SYSTEMS FROM THE CAPITAL UNIVERSITY OF ECONOMICS & BUSINESS AND A MBA FROM THE UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN WITH A DUAL CONCENTRATION IN MARKETING AND FINANCE.|HARRIS SCHOOL OF PUBLIC POLICY
CHRISTOPHER BERRY|CHRISTOPHER R. BERRY IS THE WILLIAM J. AND ALICIA TOWNSEND FRIEDMAN PROFESSOR AT THE HARRIS SCHOOL OF PUBLIC POLICY AND THE COLLEGE AND DIRECTOR THE MANSUETO INSTITUTE FOR URBAN INNOVATION, AT THE UNIVERSITY OF CHICAGO. HE WAS THE INAUGURAL DIRECTOR OF THE CENTER FOR MUNICIPAL FINANCE AND IS A CURRENT FACULTY AFFILIATE. PROFESSOR BERRY'S RESEARCH INTERESTS INCLUDE AMERICAN POLITICS, METROPOLITAN GOVERNANCE, MUNICIPAL FINANCE, AND INTERGOVERNMENTAL FISCAL RELATIONS. HE IS THE AUTHOR OF IMPERFECT UNION: REPRESENTATION AND TAXATION IN MULTILEVEL GOVERNMENTS, WINNER OF THE BEST BOOK AWARD IN URBAN POLITICS FROM THE AMERICAN POLITICAL SCIENCE ASSOCIATION, THEORY AND CREDIBILITY (WITH SCOTT ASHWORTH AND ETHAN BUENO DE MESQUITA), AND MANY OTHER SCHOLARLY PUBLICATIONS. PROFESSOR BERRY'S RESEARCH HAS BEEN FEATURED IN THE NEW YORK TIMES, THE WASHINGTON POST, BLOOMBERG BUSINESSWEEK, THE CHICAGO TRIBUNE, CRAIN'S CHICAGO BUSINESS, LAST WEEK TONIGHT WITH JOHN OLIVER, AND MANY OTHER OUTLETS. PROFESSOR BERRY IS A MEMBER OF THE AMERICAN ACADEMY OF ARTS AND SCIENCES. FOR ACCESS TO PROFESSOR BERRY'S WRITINGS, PLEASE VISIT HIS RESEARCH WEBSITE. TO LEARN MORE ABOUT HIS RESEARCH ON PROPERTY TAX FAIRNESS, VISIT WWW.PROPERTYTAXPROJECT.UCHICAGO.EDU.|HARRIS SCHOOL OF PUBLIC POLICY
CHRISTOPHER BLATTMAN|A FACULTY MEMBER IN THE PEARSON INSTITUTE FOR THE STUDY AND RESOLUTION OF GLOBAL CONFLICTS, CHRIS BLATTMAN FOCUSES ON WHY SOME PEOPLE AND SOCIETIES ARE POOR, UNEQUAL AND VIOLENT, AND HOW TO TACKLE THESE ISSUES. HIS BOOK, WHY WE FIGHT, WAS RELEASED BY VIKING PRESS IN APRIL 2022. MOST PEOPLE THINK WAR IS EASY AND PEACE IS HARD. BLATTMAN SYNTHESIZES DECADES OF SOCIAL SCIENCE AND POLICYMAKERS' PRACTICAL EXPERIENCES TO ARGUE THE OPPOSITE: WAR IS HARD AND FINDING PEACE IS EASIER THAN YOU THINK.  IN HIS DAY-TO-DAY RESEARCH, BLATTMAN WORKS WITH GOVERNMENTS AND CIVIL SOCIETY TO DESIGN AND TEST APPROACHES TO REDUCE VIOLENCE AND POVERTY. SOME OF HIS ONGOING WORK INVESTIGATES: MOST OF BLATTMAN'S WORK USES INTERVIEWS, SURVEYS, NATURAL EXPERIMENTS, LAB EXPERIMENTS, AND FIELD EXPERIMENTS TO TACKLE THESE QUESTIONS. BLATTMAN HOLDS AFFILIATIONS THAT EXTEND THE PEARSON INSTITUTE’S REACH AND IMPACT. HE LEADS THE PEACE & RECOVERY PROGRAM AT INNOVATIONS FOR POVERTY ACTION (IPA) AND THE CRIME AND VIOLENCE INITIATIVE AT MIT’S POVERTY ACTION LAB. HE IS AN AFFILIATE AT THE NATIONAL BUREAU FOR ECONOMIC RESEARCH, UCHICAGO URBAN LABS, THE CENTER FOR GLOBAL DEVELOPMENT, AND THE INTERNATIONAL GROWTH CENTER. BLATTMAN HAS ACTED AS A CONSULTANT AND ADVISER TO THE WORLD BANK, THE UNITED NATIONS, AND GOVERNMENTS IN UGANDA, LIBERIA, COLOMBIA, AND THE UNITED STATES. PREVIOUSLY, BLATTMAN WAS A BUSINESS CONSULTANT AND AN ACCOUNTANT AT DELOITTE & TOUCHE. HE THEN SERVED AS AN ASSISTANT PROFESSOR OF POLITICAL SCIENCE AT YALE UNIVERSITY AND MOST RECENTLY AS AN ASSOCIATE PROFESSOR AT COLUMBIA UNIVERSITY’S SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS AND DEPARTMENT OF POLITICAL SCIENCE. HE HOLDS A PHD IN ECONOMICS FROM THE UNIVERSITY OF CALIFORNIA AT BERKELEY AND A MASTER’S DEGREE IN PUBLIC ADMINISTRATION AND INTERNATIONAL DEVELOPMENT FROM HARVARD UNIVERSITY’S KENNEDY SCHOOL OF GOVERNMENT.|HARRIS SCHOOL OF PUBLIC POLICY
CLAIRE PALANDRI|CLAIRE PALANDRI IS A POSTDOCTORAL SCHOLAR AT THE HARRIS SCHOOL OF PUBLIC POLICY. SHE RECEIVED HER PH.D. FROM COLUMBIA UNIVERSITY’S PROGRAM IN SUSTAINABLE DEVELOPMENT, WHICH CULTIVATES AN INTERDISCIPLINARY APPROACH TO ADDRESS THE CHALLENGES OF SOCIO-ECOLOGICAL SYSTEMS. SHE STRIVES IN HER RESEARCH TO BRING TOGETHER THE INSIGHTS AND METHODOLOGICAL STRENGTHS OF MULTIPLE DISCIPLINES TO ADDRESS SUCH QUESTIONS, AND NOTABLY TO STUDY THE ANIMAL FARMING SYSTEM. SHE IS DEEPLY INTERESTED IN THE RELATION BETWEEN HUMANS AND DOMESTICATED ANIMALS, AND ITS POSITION IN THE SOCIO-ECOLOGICAL TRANSITION. HER RESEARCH RELATES TO 2 AREAS: (I) THE DIVERSE FORMS OF ANIMAL FARMING, FROM ARTISANAL TO INDUSTRIAL, AND THE TRADEOFFS THEY ENTAIL; (II) BRIDGING DIFFERENCES BETWEEN THE STATISTICAL METHODS OF DISCIPLINES WHOSE COLLABORATION IS NEEDED FOR SUCH INTERDISCIPLINARY QUESTIONS. PRIOR TO THE UNIVERSITY OF CHICAGO AND COLUMBIA UNIVERSITY, SHE EARNED HER M.SC. IN ENVIRONMENTAL ECONOMICS AND B.SC. IN ENVIRONMENTAL SCIENCE FROM AGROPARISTECH (FRANCE).|HARRIS SCHOOL OF PUBLIC POLICY
CLAYTON HARRIS|CLAYTON HARRIS III IS A LEADING PUBLIC POLICY AND GOVERNMENT RELATIONS CONSULTANT WITH OVER 20 YEARS IN ENGINEERING, LAW, POLITICS, TRANSPORTATION AND POLICY EXPERIENCE. LECTURING AT THE UNIVERSITY AT CHICAGO FOR MORE THAN A DECADE, CLAYTON HAS BROUGHT HIS REAL-WORLD EXPERIENCE, AS ASSISTANT TO THE MAYOR OF CHICAGO AND CHIEF OF STAFF TO THE GOVERNOR OF ILLINOIS, TO TEACH PROCESS AND POLICY IN STATE AND LOCAL GOVERNMENT. CLAYTON’S BACKGROUND AS A COOK COUNTY ASSISTANT STATE’S ATTORNEY AND EXPERTISE ON POLICING RACE HAS BEEN CALLED UPON ON THE NATIONAL STAGE THROUGH APPEARANCES AND DISCUSSIONS ON WGN TV AND HAS ENHANCED HIS COURSE ON POLICING RACE IN AMERICA: BLACK, WHITE & BLUE THROUGH THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HARRIS’ RECENT RESEARCH EXAMINES THE JUXTAPOSITION OF THE GENESIS OF AMERICAN POLICING THROUGH SLAVERY IN THE 1600S AND THE PARALLELS OF AMERICAN POLICING IN THE NEW MILLENNIUM.  HIS RESEARCH USES HISTORICAL ACCOUNTS AND MODERN STRATEGIES ON THE ATTEMPT TO CONTROL RACE THROUGH POLICING’S MANY FORMS: EDUCATION, HOUSING, FINANCES, JUDICIAL, ETC. BEFORE JOINING AND DURING HIS TENURE AT THE UNIVERSITY OF CHICAGO, HARRIS WORKED AT THE PENTAGON (BMDO AND ARPA) AND WITH GLOBAL ENGINEERING FIRMS AND WAS ALSO CHIEF OF STAFF AT IDOT AND THE EXECUTIVE DIRECTOR FOR THE ILLINOIS INTERNATIONAL PORT DISTRICT.  HARRIS EARNED HIS B.S. IN AEROSPACE TECHNOLOGY FROM MIDDLE TENNESSEE STATE UNIVERSITY, HIS J.D. FROM HOWARD UNIVERSITY SCHOOL OF LAW AND HIS M.P.P. FROM THE UNIVERSITY OF CHICAGO.|HARRIS SCHOOL OF PUBLIC POLICY
COLM O'MUIRCHEARTAIGH|COLM A. O'MUIRCHEARTAIGH, PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY, SERVED AS DEAN OF HARRIS FROM 2009 TO 2014. HIS RESEARCH ENCOMPASSES SURVEY SAMPLE DESIGN, MEASUREMENT ERRORS IN SURVEYS, COGNITIVE ASPECTS OF QUESTION WORDING, AND LATENT VARIABLE MODELS FOR NONRESPONSE. HE IS A SENIOR FELLOW IN NORC, WHERE HE IS RESPONSIBLE FOR THE DEVELOPMENT OF METHODOLOGICAL INNOVATIONS IN SAMPLE DESIGN. O'MUIRCHEARTAIGH IS CO-PRINCIPAL INVESTIGATOR ON THE NATIONAL SCIENCE FOUNDATION'S CENTER FOR ADVANCING RESEARCH AND COMMUNICATION IN SCIENCE, TECHNOLOGY, ENGINEERING, AND MATHEMATICS, AND ON THE NATIONAL INSTITUTE ON AGING'S NATIONAL SOCIAL LIFE HEALTH AND AGING PROJECT. HE IS A MEMBER OF THE COMMITTEE ON NATIONAL STATISTICS OF THE NATIONAL ACADEMIES AND OF THE FEDERAL ECONOMIC STATISTICS ADVISORY COMMITTEE, AND SERVES ON THE BOARD OF CHAPIN HALL CENTER FOR CHILDREN. O'MUIRCHEARTAIGH JOINED HARRIS FROM THE LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE, WHERE HE WAS THE FIRST DIRECTOR OF THE METHODOLOGY INSTITUTE, THE CENTER FOR RESEARCH AND TRAINING IN SOCIAL SCIENCE METHODOLOGY, AND A FACULTY MEMBER OF THE DEPARTMENT OF STATISTICS FROM 1971. HE HAS ALSO TAUGHT AT A NUMBER OF OTHER INSTITUTIONS, HAVING SERVED AS A VISITING PROFESSOR AT THE UNIVERSITIES OF PADOVA, PERUGIA, FIRENZE, AND BOLOGNA, AND, SINCE 1975, HAS TAUGHT AT THE SUMMER INSTITUTE OF THE UNIVERSITY OF MICHIGAN'S INSTITUTE FOR SOCIAL RESEARCH. FORMERLY PRESIDENT OF THE INTERNATIONAL ASSOCIATION OF SURVEY STATISTICIANS AND A COUNCIL MEMBER OF THE INTERNATIONAL STATISTICAL INSTITUTE, O'MUIRCHEARTAIGH IS ACTIVELY INVOLVED IN THESE AND A NUMBER OF OTHER PROFESSIONAL BODIES. HE IS A FELLOW OF THE ROYAL STATISTICAL SOCIETY, A FELLOW OF THE AMERICAN STATISTICAL ASSOCIATION, AND AN ELECTED MEMBER OF THE INTERNATIONAL STATISTICAL INSTITUTE. HE WAS A MEMBER OF THE U.S. CENSUS BUREAU FEDERAL ADVISORY COMMITTEE OF PROFESSIONAL ASSOCIATIONS (CHAIR OF THE STATISTICS SUBCOMMITTEE), A MEMBER OF THE ADVISORY BOARDS OF THE PANEL STUDY ON INCOME DYNAMICS AND THE NATIONAL LONGITUDINAL STUDY OF ADOLESCENT HEALTH (ADD HEALTH), AND A MEMBER OF THE NATIONAL ACADEMIES PANEL ON RESIDENCE RULES FOR THE 2010 CENSUS. HE HAS SERVED AS A CONSULTANT TO A WIDE RANGE OF PUBLIC AND COMMERCIAL ORGANIZATIONS IN THE UNITED STATES, THE UNITED KINGDOM, IRELAND, ITALY, AND THE NETHERLANDS. THROUGH HIS WORK WITH THE UNITED NATIONS (FAO, UNDP, UNESCO), OECD, THE COMMISSION OF THE EUROPEAN COMMUNITIES, THE INTERNATIONAL ASSOCIATION FOR EDUCATIONAL ASSESSMENT, AND OTHERS, O'MUIRCHEARTAIGH HAS ALSO WORKED IN CHINA, MYANMAR, KENYA, LESOTHO, AND PERU.|HARRIS SCHOOL OF PUBLIC POLICY
CYNTHIA TAYLOR|"CYNTHIA TAYLOR PROVIDES ADMINISTRATIVE SUPPORT FOR TWENTY-FIVE HARRIS FACULTY, INCLUDING PLACING TEXTBOOK ORDERS, PREPARING COURSE MATERIALS FOR CLASSES, SCHEDULING ROOMS FOR MEETINGS, ASSISTING WITH GUEST SPEAKERS, MAKING TRAVEL ARRANGEMENTS, AND MORE. SHE ALSO PROVIDES ADMINISTRATIVE SUPPORT FOR THE PUBLIC POLICY AND ECONOMICS (PPE) WORKSHOP AND PROCESSES ALL REIMBURSEMENTS OF HARRIS FACULTY EXPENSES THROUGH THE UNIVERSITY’S GEMS SYSTEM.
CYNTHIA SERVED AS OFFICE MANAGER FOR AN EXHIBIT COMPANY IN DOWNTOWN CHICAGO FOR NEARLY TEN YEARS. SHE JOINED THE UNIVERSITY OF CHICAGO IN 1994 IN THE OFFICE OF CENTRAL DEVELOPMENT DURING A MAJOR CAMPAIGN, WHERE SHE PROVIDED ADMINISTRATIVE SUPPORT TO THE CORPORATE RELATIONS TEAM. SHE MOVED TO HARRIS PUBLIC POLICY AS PART OF THE EXTERNAL RELATIONS (DEVELOPMENT) STAFF IN 1996 AND SERVED AS ADMINISTRATIVE ASSISTANT TO THE DIRECTOR. CYNTHIA THEN BECAME EXECUTIVE ASSISTANT TO THE DEAN AND WORKED WITH THREE DEANS AT HARRIS OVER THE COURSE OF ELEVEN YEARS. SHE PROVIDED SUPPORT AS A STUDENT SERVICES SPECIALIST FOR FOUR YEARS IN THE DEAN OF STUDENTS OFFICE AT HARRIS PUBLIC POLICY. BEFORE RETURNING TO HARRIS IN 2017, CYNTHIA PROVIDED ADMINISTRATIVE SUPPORT TO THE DEVELOPMENT—PLANNED GIVING TEAM AT THE SALVATION ARMY’S CHICAGO METROPOLITAN DIVISIONAL HEADQUARTERS FOR THREE YEARS.
CYNTHIA MAJORED IN PSYCHOLOGY AT STANFORD UNIVERSITY IN PALO ALTO, CALIFORNIA."|HARRIS SCHOOL OF PUBLIC POLICY
DAISY CRUZ|"DAISY CRUZ SERVES AS AN ACADEMIC ADVISOR AND FINANCIAL AID SPECIALIST ON THE STUDENT AFFAIRS TEAM. IN THIS ROLE, SHE ADVISES GRADUATE STUDENTS ON ACADEMIC AND FINANCIAL AID MATTERS TO HELP THEM ACHIEVE THEIR GOALS AND ENHANCE THE STUDENT EXPERIENCE. SHE ALSO COLLABORATES WITH INTERNAL AND EXTERNAL OFFICES ON FINANCIAL AID ALLOCATION AND DISBURSEMENTS.
PRIOR TO JOINING HARRIS, SHE WORKED AT UCHICAGO'S FINANCIAL AID OFFICE WHERE SHE STARTED OFF AS A FINANCIAL AID ADVISOR FOR UNDERGRADUATE STUDENTS AND THEN ADVANCED TO FINANCIAL AID COUNSELOR FOR GRADUATE STUDENTS. DAISY HOLDS A BACHELOR'S DEGREE IN SPANISH FROM PURDUE UNIVERSITY NORTHWEST WITH A MINOR IN PSYCHOLOGY AND A MASTER’S IN BUSINESS ADMINISTRATION (MBA) FROM PURDUE UNIVERSITY NORTHWEST."|HARRIS SCHOOL OF PUBLIC POLICY
DAMON JONES|DAMON JONES IS AN ASSOCIATE PROFESSOR AND ASSOCIATE DIRECTOR OF THE STONE CENTER FOR RESEARCH ON WEALTH INEQUALITY AND MOBILITY AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HE CONDUCTS RESEARCH AT THE INTERSECTION OF THREE FIELDS: PUBLIC FINANCE, HOUSEHOLD FINANCE, AND LABOR ECONOMICS. ASSOC. PROF. JONES HAS RESEARCHED TOPICS THAT INCLUDE INEQUALITY, HOUSEHOLD FINANCIAL DECISION-MAKING, AND RACIAL EQUITY, TOUCHES ON POLICIES SUCH AS INCOME TAX, THE SOCIAL SAFETY NET, SOCIAL SECURITY, RETIREMENT AND RETIREMENT SAVINGS, THE INTERACTION BETWEEN EMPLOYER-PROVIDED BENEFITS AND LABOR MARKET OUTCOMES, AND ECONOMIC INEQUALITY ACROSS RACIAL LINES. MORE RECENTLY, HE HAS CONDUCTED RESEARCH ON WORKPLACE WELLNESS PROGRAMS, UNIVERSAL BASIC INCOME, AND RACIAL DIFFERENCES IN FINANCIAL OUTCOMES. AT HARRIS, ASSOC. PROF. JONES CURRENTLY TEACHES A COURSE ON PUBLIC FINANCE AND PUBLIC POLICY, A COURSE IN ADVANCED MICROECONOMICS, AND A PRACTICUM ON TAX POLICY AND HOUSEHOLD FINANCE.|HARRIS SCHOOL OF PUBLIC POLICY
DAN BLACK|DAN A. BLACK IS A PROFESSOR AND INTERIM DEPUTY DEAN FOR ACADEMIC PROGRAMS AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. HE ALSO SERVES AS A SENIOR FELLOW AT THE NATIONAL OPINION RESEARCH CENTER. BLACK IS ON THE EDITORIAL BOARD OF THE JOURNAL OF LABOR ECONOMICS, LABOUR ECONOMICS, AND JOURNAL OF URBAN ECONOMICS. HIS RESEARCH FOCUSES ON LABOR ECONOMICS, ECONOMIC DEMOGRAPHY, URBAN ECONOMICS AND APPLIED ECONOMETRICS. HIS PAPERS HAVE APPEARED IN THE TOP JOURNALS IN ECONOMICS, STATISTICS, AND DEMOGRAPHY. HE HAS SERVED ON PANELS FOR THE CENSUS BUREAU, THE DEPARTMENT OF EDUCATION, THE ENVIRONMENTAL PROTECTION AGENCY, THE NATIONAL SCIENCE FOUNDATION, AND THE NATIONAL ACADEMY OF SCIENCE. HE HAS SERVED AS A CONSULTANT FOR THE NEW ZEALAND AND AUSTRALIAN GOVERNMENTS AS WELL AS STATE AND CITY GOVERNMENTS. BEFORE JOINING HARRIS, HE WAS ON FACULTY AT THE UNIVERSITY OF KENTUCKY AND SYRACUSE UNIVERSITY, HELD VISITING APPOINTMENTS AT THE UNIVERSITY OF CHICAGO, AUSTRALIAN NATIONAL UNIVERSITY, AND CARNEGIE MELLON UNIVERSITY. BLACK HOLDS A BA AND MA IN HISTORY FROM THE UNIVERSITY OF KANSAS AND AN MS AND PHD IN ECONOMICS FROM PURDUE UNIVERSITY.|HARRIS SCHOOL OF PUBLIC POLICY
