name|faculty_of|has_phd_info|phd_where
SIÂN MOONEY|INDIANA UNIVERSITY O'NEILL SCHOOL| STATE UNIVERSITY, 1998M.SC.,| STATE UNIVERSITY, 1998M.SC.,
SOFFIA ALARCON|COLUMBIA SCHOOL OF INTERNATIONAL AND PUBLIC AFFAIRS| ESG- AND GREEN-GREENWASHING.  IN THE ACADEMIC WORLD,| ESG- AND GREEN-GREENWASHING.  IN THE ACADEMIC WORLD,
STACI  CAPOZZI|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE, RAMAPO COLLEGE OF NEW JERSEY, 2010| JERSEY, 2016B.S., ENVIRONMENTAL SCIENCE,
STEPHANIE LEISER|FORD SCHOOL OF PUBLIC POLICY| LOCAL GOVERNMENT FISCAL HEALTH PROJECT AT THE| LOCAL GOVERNMENT FISCAL HEALTH PROJECT AT THE
STEPHEN GLAHOLT|INDIANA UNIVERSITY O'NEILL SCHOOL| SANTA BARBARA,1998| SANTA BARBARA,1998
STEVE ELLER|INDIANA UNIVERSITY O'NEILL SCHOOL|MBA,| INDIANA WESLEYAN,
STEVE LUCAS|INDIANA UNIVERSITY O'NEILL SCHOOL| MILITARY UNIVERSITYBA,| NORTHCENTRAL UNIVERSITYMS, EMERGENCY AND DISASTER MANAGEMENT,
SUSAN M. COLLINS|FORD SCHOOL OF PUBLIC POLICY|" GROWTH: COMPARING CHINA AND INDIA,"" (WITH BARRY BOSWORTH)"|" GROWTH: COMPARING CHINA AND INDIA,"" (WITH BARRY BOSWORTH)"
SUSAN SIENA|INDIANA UNIVERSITY O'NEILL SCHOOL| CALIFORNIA, BERKELEY, 1991B.A. (SUMMA CUM| CALIFORNIA, BERKELEY, 1991B.A. (SUMMA CUM
TABITHA CLARK|HARRIS SCHOOL OF PUBLIC POLICY| NORTHEASTERN ILLINOIS UNIVERSITY AND HER M.A.| NORTHEASTERN ILLINOIS UNIVERSITY AND HER M.A.
TALEIA BECTON- HILL|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY (NOW PURDUE UNIVERSITY GLOBAL).| UNIVERSITY (NOW PURDUE UNIVERSITY GLOBAL).
TANYA HINES|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY, NEW JERSEY.| PREPARED REPORTS
TARESHA COX|HARRIS SCHOOL OF PUBLIC POLICY| ALMOST 9 YEARS. I| ALMOST 9 YEARS. I
TERENCE CHAU|HARRIS SCHOOL OF PUBLIC POLICY| THERE! I'M AN ECONOMIST AND PH.D.| THERE! I'M AN ECONOMIST AND PH.D.
TERESA DAVIS|HARRIS SCHOOL OF PUBLIC POLICY| EXPERIENCES, INCLUDING EXPERTISE AS A K-12| EXPERIENCES, INCLUDING EXPERTISE AS A K-12
TERRI BRADY|HARRIS SCHOOL OF PUBLIC POLICY| MEDIATOR (NORTHWESTERN|ARD’S
THEASTER GATES|HARRIS SCHOOL OF PUBLIC POLICY| PLACE LAB| PLACE LAB
THOMAS COLEMAN|HARRIS SCHOOL OF PUBLIC POLICY| INCOME DERIVATIVES|EDGE FUND
THOMAS HAZINSKI|HARRIS SCHOOL OF PUBLIC POLICY|" TERMINAL 5 AT O’HARE AIRPORT.
TOM"|" TERMINAL 5 AT O’HARE AIRPORT.
TOM"
TIMOTHY KNOWLES|HARRIS SCHOOL OF PUBLIC POLICY| COST-EFFICIENT. |RONMENT—WORKING
TOM DAY|HARRIS SCHOOL OF PUBLIC POLICY| IN 2009 AND 2010.| IN 2009 AND 2010.
TOMAS PHILIPSON|HARRIS SCHOOL OF PUBLIC POLICY| INVESTOR'S BUSINESS DAILY, AND USA TODAY. HE|ENCES, AND THE UK NATIONAL HEALTH SERVICE.
TRAVIS KAVULLA|HARRIS SCHOOL OF PUBLIC POLICY| WESTERN UNITED STATES.| CHILDREN.
TRICIA MCCANN|HARRIS SCHOOL OF PUBLIC POLICY| PROGRAMMING –| PROGRAMMING –
TARA  ALI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
TEMIRLAN T.  MOLDOGAZIEV |INDIANA UNIVERSITY O'NEILL SCHOOL| ASIA, 2000| ASIA, 2000
TERRI L. RENNER|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1983HEALTH|M.B.A., INDIANA UNIVERSITY, 1985B.A., INDIANA UNIVERSITY, 1983HEALTH
TERRY AMSLER|INDIANA UNIVERSITY O'NEILL SCHOOL| FRANCISCO, 1987| FRANCISCO, 1987
THEODORE  MILLER|INDIANA UNIVERSITY O'NEILL SCHOOL| 1970B.S.| 1970B.S.
THOMAS M. RABOVSKY|INDIANA UNIVERSITY O'NEILL SCHOOL| 2013M.P.A., UNIVERSITY OF OKLAHOMA, 2008B.A.,| 2013M.P.A., UNIVERSITY OF OKLAHOMA, 2008B.A.,
TIM  WATERS|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
TIM BERRY|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYBS IN BUSINESS ADMINISTRATION,| GREEN STATE
TODD V. ROYER|INDIANA UNIVERSITY O'NEILL SCHOOL| ECOLOGY, IOWA STATE UNIVERSITY, 1992LIMNOLOGYSTREAM| ECOLOGY, IOWA STATE UNIVERSITY, 1992LIMNOLOGYSTREAM
TRENT  ENGBERS|INDIANA UNIVERSITY O'NEILL SCHOOL| SCHOOL OF PUBLIC AND ENVIRONMENTAL AFFAIRSM.A.,| PARKB.S.,
TRENT MOORE|INDIANA UNIVERSITY O'NEILL SCHOOL| PERSONNEL, OHIO UNIVERSITY,| PERSONNEL, OHIO UNIVERSITY, 2014B.S.,
TRIBBLE BRADLEY|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY;| UNIVERSITY;
TRISHA BUSHEY|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY IN ST. LOUIS, 2004B.A.,| UNIVERSITY IN ST. LOUIS, 2004B.A.,
URSULA M.  KUHAR|INDIANA UNIVERSITY O'NEILL SCHOOL| ADMINISTRATION WITH HONORS, BUTLER UNIVERSITY, 2005ARTS| ADMINISTRATION WITH HONORS, BUTLER UNIVERSITY, 2005ARTS
VALENTA KABO|FORD SCHOOL OF PUBLIC POLICY| ECONOMICS, AND| ECONOMICS, AND
VICKY MERETSKY|INDIANA UNIVERSITY O'NEILL SCHOOL| ECOLOGY, HUMBOLDT STATE UNIVERSITY, ARCATA, CA, 1988B.SC.,| ECOLOGY, HUMBOLDT STATE UNIVERSITY, ARCATA, CA, 1988B.SC.,
VICTOR  KELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
W. GYUDE MOORE|HARRIS SCHOOL OF PUBLIC POLICY| IN 2021.| IN 2021.
WHIT AYRES|HARRIS SCHOOL OF PUBLIC POLICY| LOS ANGELES TIMES, USA TODAY, AND| LOS ANGELES TIMES, USA TODAY, AND
WIL BURNS|HARRIS SCHOOL OF PUBLIC POLICY| OVER 80 ARTICLES AND CHAPTERS IN LAW,| SCIENCES,
WILLIAM HOWELL|HARRIS SCHOOL OF PUBLIC POLICY| AFFAIRS, FOREIGN| JOURNAL, FOREIGN
WILLIAM TOWNS|HARRIS SCHOOL OF PUBLIC POLICY| OF 4S BAY PARTNERS,| OF 4S BAY PARTNERS, LLC’S
WIOLETTA DZIUDA|HARRIS SCHOOL OF PUBLIC POLICY| ASSOCIATE PROFESSOR| ASSOCIATE PROFESSOR
WESLEY  ERWIN|INDIANA UNIVERSITY O'NEILL SCHOOL| IN KINESIOLOGY, 2006BACHELOR OF GENERAL STUDIES, 2000| IN KINESIOLOGY, 2006BACHELOR OF GENERAL STUDIES, 2000
WOOSERK PARK|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, O'NEILL MPA, CITY UNIVERSITY OF NEW YORK,| UNIVERSITY, O'NEILL MPA, CITY UNIVERSITY OF NEW YORK,
YALUN SU|HARRIS SCHOOL OF PUBLIC POLICY| OF LABOR MARKETS. “DISABILITY| OF LABOR MARKETS. “DISABILITY
YANA GALLEN|HARRIS SCHOOL OF PUBLIC POLICY| IN 2016.| IN 2016.
YUKIKO ASAI|HARRIS SCHOOL OF PUBLIC POLICY| POLICY.  PRIOR| AND LECTURER IN LABOR
YAZIER HENRY|FORD SCHOOL OF PUBLIC POLICY| INTELLECTUAL, SCHOLAR,| INTELLECTUAL, SCHOLAR,
YOUSIF HASSAN|FORD SCHOOL OF PUBLIC POLICY| AI STRATEGY:|" AI STRATEGY: CURRENT DEBATES AND APPROACHES. DISCOVER ARTIFICIAL INTELLIGENCE.  
HASSAN,"
ZAREK BROT-GOLDBERG |HARRIS SCHOOL OF PUBLIC POLICY| IN 2018.| IN 2018.
ZHAOSONG RUAN|HARRIS SCHOOL OF PUBLIC POLICY| II (PHD).| AND THE POLITICAL
ZOE (ZHONGYU) WU|HARRIS SCHOOL OF PUBLIC POLICY| HARRIS,| IN ILLINOIS,
ZHIYING LI|INDIANA UNIVERSITY O'NEILL SCHOOL| ACADEMY OF SCIENCES, BEIJING, CHINA,2017B.S.,| GEOGRAPHY, THE OHIO STATE UNIVERSITY, 2021M.S.,
